username,password,name,surname,balance,monthly_income,expenses
user001,pass123,John,Smith,2500.50,21665,16541.11
user002,sarah01,Sarah,Johnson,1800.75,90910,74402.93
user003,mike456,Mike,Williams,3200.00,48152,39297.78
user004,emma789,Emma,Brown,950.25,99032,79943.42
user005,david99,David,Davis,4100.80,54942,50067.57
user006,lisa2024,Lisa,Wilson,2750.30,86062,69049.21
user007,tommy12,Tom,Miller,1500.00,2006,1496.56
user008,anna555,Anna,Taylor,3850.60,29363,26065.51
user009,Xk9$mP#7wQ2!vR8n,Chris,Anderson,2200.90,205704,146053.53
user010,maria123,Maria,Garcia,1750.45,18127,15557.77
user011,Ilove123cake,Tumelo,Zule,12000.0,57398,52294.35
